'id';'name';'height';'mass';'hair_color';'skin_color';'eye_color';'birth_year';'gender';'planet_id';'created_date';'updated_date';'url'
30;'Wicket Systri Warrick';88;20;'brown';'brown';'brown';'8BBY';'male';7;'2014-12-18 11:21:58.954';'2014-12-20 21:17:50.369';'https://swapi.co/api/people/30/'
31;'Nien Nunb';160;68;'none';'grey';'black';NULL;'male';33;'2014-12-18 11:26:18.541';'2014-12-20 21:17:50.371';'https://swapi.co/api/people/31/'
32;'Qui-Gon Jinn';193;89;'brown';'fair';'blue';'92BBY';'male';28;'2014-12-19 16:54:53.618';'2014-12-20 21:17:50.375';'https://swapi.co/api/people/32/'
33;'Nute Gunray';191;90;'none';'mottled green';'red';NULL;'male';18;'2014-12-19 17:05:57.357';'2014-12-20 21:17:50.377';'https://swapi.co/api/people/33/'
34;'Finis Valorum';170;NULL;'blond';'fair';'blue';'91BBY';'male';9;'2014-12-19 17:21:45.915';'2014-12-20 21:17:50.379';'https://swapi.co/api/people/34/'
35;'Padmé Amidala';165;45;'brown';'light';'brown';'46BBY';'female';8;'2014-12-19 17:28:26.926';'2016-04-20 17:06:31.502555';'https://swapi.co/api/people/35/'
36;'Jar Jar Binks';196;66;'none';'orange';'orange';'52BBY';'male';8;'2014-12-19 17:29:32.489';'2014-12-20 21:17:50.383';'https://swapi.co/api/people/36/'
37;'Roos Tarpals';224;82;'none';'grey';'orange';NULL;'male';8;'2014-12-19 17:32:56.741';'2014-12-20 21:17:50.385';'https://swapi.co/api/people/37/'
38;'Rugor Nass';206;NULL;'none';'green';'orange';NULL;'male';8;'2014-12-19 17:33:38.909';'2014-12-20 21:17:50.388';'https://swapi.co/api/people/38/'
39;'Ric Olié';183;NULL;'brown';'fair';'blue';NULL;'male';8;'2014-12-19 17:45:01.522';'2014-12-20 21:17:50.392';'https://swapi.co/api/people/39/'
40;'Watto';137;NULL;'black';'blue, grey';'yellow';NULL;'male';34;'2014-12-19 17:48:54.647';'2014-12-20 21:17:50.395';'https://swapi.co/api/people/40/'
41;'Sebulba';112;40;'none';'grey, red';'orange';NULL;'male';35;'2014-12-19 17:53:02.586';'2014-12-20 21:17:50.397';'https://swapi.co/api/people/41/'
42;'Quarsh Panaka';183;NULL;'black';'dark';'brown';'62BBY';'male';8;'2014-12-19 17:55:43.348';'2014-12-20 21:17:50.399';'https://swapi.co/api/people/42/'
43;'Shmi Skywalker';163;NULL;'black';'fair';'brown';'72BBY';'female';1;'2014-12-19 17:57:41.191';'2014-12-20 21:17:50.401';'https://swapi.co/api/people/43/'
44;'Darth Maul';175;80;'none';'red';'yellow';'54BBY';'male';36;'2014-12-19 18:00:41.929';'2014-12-20 21:17:50.403';'https://swapi.co/api/people/44/'
45;'Bib Fortuna';180;NULL;'none';'pale';'pink';NULL;'male';37;'2014-12-20 09:47:02.512';'2014-12-20 21:17:50.407';'https://swapi.co/api/people/45/'
46;'Ayla Secura';178;55;'none';'blue';'hazel';'48BBY';'female';37;'2014-12-20 09:48:01.172';'2014-12-20 21:17:50.409';'https://swapi.co/api/people/46/'
47;'Ratts Tyerell';79;15;'none';'grey, blue';NULL;NULL;'male';38;'2014-12-20 09:53:15.086';'2016-06-30 12:52:19.604868';'https://swapi.co/api/people/47/'
48;'Dud Bolt';94;45;'none';'blue, grey';'yellow';NULL;'male';39;'2014-12-20 09:57:31.858';'2014-12-20 21:17:50.414';'https://swapi.co/api/people/48/'
49;'Gasgano';122;NULL;'none';'white, blue';'black';NULL;'male';40;'2014-12-20 10:02:12.223';'2014-12-20 21:17:50.416';'https://swapi.co/api/people/49/'
50;'Ben Quadinaros';163;65;'none';'grey, green, yellow';'orange';NULL;'male';41;'2014-12-20 10:08:33.777';'2014-12-20 21:17:50.417';'https://swapi.co/api/people/50/'
51;'Mace Windu';188;84;'none';'dark';'brown';'72BBY';'male';42;'2014-12-20 10:12:30.846';'2014-12-20 21:17:50.42';'https://swapi.co/api/people/51/'
52;'Ki-Adi-Mundi';198;82;'white';'pale';'yellow';'92BBY';'male';43;'2014-12-20 10:15:32.293';'2014-12-20 21:17:50.422';'https://swapi.co/api/people/52/'
53;'Kit Fisto';196;87;'none';'green';'black';NULL;'male';44;'2014-12-20 10:18:57.202';'2014-12-20 21:17:50.424';'https://swapi.co/api/people/53/'
54;'Eeth Koth';171;NULL;'black';'brown';'brown';NULL;'male';45;'2014-12-20 10:26:47.902';'2014-12-20 21:17:50.427';'https://swapi.co/api/people/54/'
55;'Adi Gallia';184;50;'none';'dark';'blue';NULL;'female';9;'2014-12-20 10:29:11.661';'2014-12-20 21:17:50.432';'https://swapi.co/api/people/55/'
56;'Saesee Tiin';188;NULL;'none';'pale';'orange';NULL;'male';47;'2014-12-20 10:32:11.669';'2014-12-20 21:17:50.434';'https://swapi.co/api/people/56/'
57;'Yarael Poof';264;NULL;'none';'white';'yellow';NULL;'male';48;'2014-12-20 10:34:48.725';'2014-12-20 21:17:50.437';'https://swapi.co/api/people/57/'
58;'Plo Koon';188;80;'none';'orange';'black';'22BBY';'male';49;'2014-12-20 10:49:19.859';'2014-12-20 21:17:50.439';'https://swapi.co/api/people/58/'
59;'Mas Amedda';196;NULL;'none';'blue';'blue';NULL;'male';50;'2014-12-20 10:53:26.457';'2014-12-20 21:17:50.442';'https://swapi.co/api/people/59/'
60;'Gregar Typho';185;85;'black';'dark';'brown';NULL;'male';8;'2014-12-20 11:10:10.381';'2014-12-20 21:17:50.445';'https://swapi.co/api/people/60/'
61;'Cordé';157;NULL;'brown';'light';'brown';NULL;'female';8;'2014-12-20 11:11:39.63';'2014-12-20 21:17:50.449';'https://swapi.co/api/people/61/'
62;'Cliegg Lars';183;NULL;'brown';'fair';'blue';'82BBY';'male';1;'2014-12-20 15:59:03.958';'2014-12-20 21:17:50.451';'https://swapi.co/api/people/62/'
63;'Poggle the Lesser';183;80;'none';'green';'yellow';NULL;'male';11;'2014-12-20 16:40:43.977';'2014-12-20 21:17:50.453';'https://swapi.co/api/people/63/'
64;'Luminara Unduli';170;56.2;'black';'yellow';'blue';'58BBY';'female';51;'2014-12-20 16:45:53.668';'2014-12-20 21:17:50.455';'https://swapi.co/api/people/64/'
65;'Barriss Offee';166;50;'black';'yellow';'blue';'40BBY';'female';51;'2014-12-20 16:46:40.44';'2014-12-20 21:17:50.457';'https://swapi.co/api/people/65/'
66;'Dormé';165;NULL;'brown';'light';'brown';NULL;'female';8;'2014-12-20 16:49:14.64';'2014-12-20 21:17:50.46';'https://swapi.co/api/people/66/'
67;'Dooku';193;80;'white';'fair';'brown';'102BBY';'male';52;'2014-12-20 16:52:14.726';'2014-12-20 21:17:50.462';'https://swapi.co/api/people/67/'
68;'Bail Prestor Organa';191;NULL;'black';'tan';'brown';'67BBY';'male';2;'2014-12-20 16:53:08.575';'2014-12-20 21:17:50.463';'https://swapi.co/api/people/68/'
69;'Jango Fett';183;79;'black';'tan';'brown';'66BBY';'male';53;'2014-12-20 16:54:41.62';'2014-12-20 21:17:50.465';'https://swapi.co/api/people/69/'
70;'Zam Wesell';168;55;'blonde';'fair, green, yellow';'yellow';NULL;'female';54;'2014-12-20 16:57:44.471';'2014-12-20 21:17:50.468';'https://swapi.co/api/people/70/'
71;'Dexter Jettster';198;102;'none';'brown';'yellow';NULL;'male';55;'2014-12-20 17:28:27.248';'2014-12-20 21:17:50.47';'https://swapi.co/api/people/71/'
72;'Lama Su';229;88;'none';'grey';'black';NULL;'male';10;'2014-12-20 17:30:50.416';'2014-12-20 21:17:50.473';'https://swapi.co/api/people/72/'
73;'Taun We';213;NULL;'none';'grey';'black';NULL;'female';10;'2014-12-20 17:31:21.195';'2014-12-20 21:17:50.474';'https://swapi.co/api/people/73/'
74;'Jocasta Nu';167;NULL;'white';'fair';'blue';NULL;'female';9;'2014-12-20 17:32:51.996';'2014-12-20 21:17:50.476';'https://swapi.co/api/people/74/'
75;'R4-P17';96;NULL;'none';'silver, red';'red, blue';NULL;'female';28;'2014-12-20 17:43:36.409';'2014-12-20 21:17:50.478';'https://swapi.co/api/people/75/'
76;'Wat Tambor';193;48;'none';'green, grey';NULL;NULL;'male';56;'2014-12-20 17:53:52.607';'2014-12-20 21:17:50.481';'https://swapi.co/api/people/76/'
77;'San Hill';191;NULL;'none';'grey';'gold';NULL;'male';57;'2014-12-20 17:58:17.049';'2014-12-20 21:17:50.484';'https://swapi.co/api/people/77/'
78;'Shaak Ti';178;57;'none';'red, blue, white';'black';NULL;'female';58;'2014-12-20 18:44:01.103';'2014-12-20 21:17:50.486';'https://swapi.co/api/people/78/'
79;'Grievous';216;159;'none';'brown, white';'green, yellow';NULL;'male';59;'2014-12-20 19:43:53.348';'2014-12-20 21:17:50.488';'https://swapi.co/api/people/79/'
80;'Tarfful';234;136;'brown';'brown';'blue';NULL;'male';14;'2014-12-20 19:46:34.209';'2014-12-20 21:17:50.491';'https://swapi.co/api/people/80/'
81;'Raymus Antilles';188;79;'brown';'light';'brown';NULL;'male';2;'2014-12-20 19:49:35.583';'2014-12-20 21:17:50.493';'https://swapi.co/api/people/81/'
82;'Sly Moore';178;48;'none';'pale';'white';NULL;'female';60;'2014-12-20 20:18:37.619';'2014-12-20 21:17:50.496';'https://swapi.co/api/people/82/'
83;'Tion Medon';206;80;'none';'grey';'black';NULL;'male';12;'2014-12-20 20:35:04.26';'2014-12-20 21:17:50.498';'https://swapi.co/api/people/83/'
84;'Finn';NULL;NULL;'black';'dark';'dark';NULL;'male';28;'2015-04-17 06:52:40.793621';'2015-04-17 06:52:40.793674';'https://swapi.co/api/people/84/'
85;'Rey';NULL;NULL;'brown';'light';'hazel';NULL;'female';28;'2015-04-17 06:54:01.495077';'2015-04-17 06:54:01.495128';'https://swapi.co/api/people/85/'
86;'Poe Dameron';NULL;NULL;'brown';'light';'brown';NULL;'male';28;'2015-04-17 06:55:21.622786';'2015-04-17 06:55:21.622835';'https://swapi.co/api/people/86/'
87;'BB8';NULL;NULL;'none';'none';'black';NULL;'none';28;'2015-04-17 06:57:38.061346';'2015-04-17 06:57:38.061453';'https://swapi.co/api/people/87/'
88;'Captain Phasma';NULL;NULL;NULL;NULL;NULL;NULL;'female';28;'2015-10-13 10:35:39.229823';'2015-10-13 10:35:39.229894';'https://swapi.co/api/people/88/'
